id,text,classification,type_of_antisemitism,image_url
1291817243278553088,Y'all are the future.,0,,https://pbs.twimg.com/media/Ee107xJXsAIYK_l.jpg
1292750633104289792,Not what you think  Propagandist  PRO zionist (Amos Oz supporter) Parents —&gt; Hollywood,1,0,https://pbs.twimg.com/media/EfDF2TjXYAE_a4h.jpg
1275918779831238656,I'm probably blackpilled due to years of zog programming but I can't help but think that he watches other men please his wife.,1,0,https://pbs.twimg.com/media/EbT5XA8WsAYauDY.jpg
1293090052252135424,The latest proof that trump has managed to simultaneously appeal to those who think US Jews aren’t loyal enough to Israel and those who think US Jews are too loyal to Israel.,1,0,https://pbs.twimg.com/media/EfH6jEXUMAAziFs.jpg
1293251961031204865,"Your Holiness, I would like to inform you that the building of the Bishop's Curia has been converted into apartments for Jews - Bishop Franciszek Barda reported in a letter to Pope Pius XII. Bishop Barda also gave false baptismal records to the Igel family, among others.",1,2,https://pbs.twimg.com/media/EfKNNTSXkAAnCBw.jpg
1293312774563606531,"The Republican Jewish Coalition's Matt Brooks says in a statement that Harris-who has a strong pro-Israel record and is married to a Jew - ""does not stand with Israel and the Jewish community.""  Could it be because Harris would not endorse inside trading $KODAK #TrumpCorruption ",0,,https://pbs.twimg.com/media/EfLFGPbWsAE7fbk.jpg
1293375754751881217,"Same poll shows Arab areas around Israel,Almost 60+%peoples agree on the Arab countries surrounding Israel are jungle in which Israeli civilisation has been established This means,they want to destroy and occupy the Arab countries,Now the #politicalwar is begin #TurkeyIsNotAlone",1,0,https://pbs.twimg.com/media/EfL-ZK3XgAAIUwr.jpg
1285204382779420674,God bless ya #Fraud&amp; #CorruptionUK ❤Thx❤  Your #YouTube #BOOM #Fantastic luv it ❤  Fraud &amp; Corruption UK #1 👍,0,,https://pbs.twimg.com/media/EdX1fEnWoAEvOmp.jpg
1293234382535135232,"Don't bother with him, hes indirectly helping Israel. The irony is that he's subconsciously working towards the of his own people. This is his master right here. Benjamin Netanyahu has successfully been able to control and demoralized the white race.",1,0,https://pbs.twimg.com/media/EfJ9zapU4AASVlV.jpg
1278649503088816131,Today we created our own story of Zog in the form of a story board. Tomorrow we will write our story.,1,0,https://pbs.twimg.com/media/Eb6s8QTWAAEjWL7.jpg
1290058183092744192,"Ha ha ha which planet are you on, ZOG!",1,0,https://pbs.twimg.com/media/Eec1FJsU8AA1F1J.jpg
1292881111048060928,Netanyahu: ‘Rabbi Steinsaltz was an outstanding example of the persistent Jew’ -,0,,https://pbs.twimg.com/media/EfE8hOhU8AAiGoD.jpg
1283086763393605633,I just wanted to be left alone in Nature.  But the gov't thought I was a Ruby Ridge type and sent in two Huey helicopters of special forces to check up on me. So she left to do organic farming and I left for Hollywood to use the actor resources to make movies against ZOG.,0,,https://pbs.twimg.com/media/Ec5wb0aU4AEnvcl.jpg
1292959678058467328,08/10 Links Pt2: Anti-Zionism is Antisemitism; Judea Pearl: A Lesson for Seth Rogen (and All Jews) on Early Zionists and Arabs; The NAACP’s Failure to Deal With Rodney Muhammad’s Antisemitism: From Ian: --- Anti-Zionism is Antisemitism This…,0,,https://pbs.twimg.com/media/EfGD-bMU0AAoDeK.jpg
1292503232409829376,"When, in the end, they all feed at the same trough, it Does NOT matter. The US Imperialist Zionist System has been captured by a Foreign Agent for decades plus, so it's just a question of which one of these lovely ladies will be their messenger.",1,0,https://pbs.twimg.com/media/Ee_kmzmUcAES5zg.png
1293286054418477056,"Lord, help us, two #Zionists.",1,0,https://pbs.twimg.com/media/EfKszv6UwAAiREa.png
1292878093938565120,Zionists don't want you to rebel.  Zionists don't want you to resist. Zionists don't want you to #BDS.  They want you to do one thing:,1,0,https://pbs.twimg.com/media/EfE5xlQWkAAEpQx.jpg
1293359379719368714,"We didn't fail because we're useless and our ideology is incoherent, it-- IT WAS THE JEWS' FAULT",1,3,https://pbs.twimg.com/media/EfLvdZ5XYAEUMiP.jpg
1293242870900625408,"Once everyone’s folder is open about political songs by Orthodox Jews about presidential races, please remember to include this Miami Boys Choir song about President Jimmy Carter in your think-pieces, letters to the editor, op-eds, and rap responses.",0,,https://pbs.twimg.com/media/EfKFiQcWkAYZy9h.jpg
