Algorithm,Representation,Task,Score
svm,bow,classification,0.7721311475999999
svm,bow,type_of_antisemitism,0.5970588237000001
svm,freq,classification,0.7581967212999999
svm,freq,type_of_antisemitism,0.5529411765999999
svm,tfidf,classification,0.7336065574000001
svm,tfidf,type_of_antisemitism,0.48823529400000004
decision-tree,bow,classification,0.7254098360000001
decision-tree,bow,type_of_antisemitism,0.5794117646999999
decision-tree,freq,classification,0.7377049178999999
decision-tree,freq,type_of_antisemitism,0.5764705882000001
decision-tree,tfidf,classification,0.7459016394
decision-tree,tfidf,type_of_antisemitism,0.6029411765
naive-bayes,bow,classification,0.6352459015
naive-bayes,bow,type_of_antisemitism,0.5205882354999999
naive-bayes,freq,classification,0.5926229507999999
naive-bayes,freq,type_of_antisemitism,0.5411764706
naive-bayes,tfidf,classification,0.5967213115000001
naive-bayes,tfidf,type_of_antisemitism,0.5352941175999999
