word,definition,appearance,hateful,offensive,sentiment,violent
Alt-right,"“Racist, far-right movement based on an ideology of white nationalism and anti-Semitism. Many news organisations do not use the term, preferring terms like ‘white nationalism’ and ‘far right’. The movement’s self-professed goal is the creation of a white state and the destruction of ‘leftism’, which it calls ‘an ideology of death’. Richard B. Spencer, a leader in the movement, has described the movement as ‘identity politics for white people’. It is also anti-immigrant, anti-feminist and opposed to homosexuality and gay and transgender rights. It is highly decentralised but has a wide online presence, where its ideology is spread via racist or sexist memes with a satirical edge. It believes that higher education is ‘only appropriate for a cognitive elite’ and that most citizens should be educated in trade schools or apprenticeships.” [3]",1,0.749,0.439,0.909,0.229
Anti-Semitism,"“Discrimination, hostility, persecution, and prejudice targeting Jews.” [4]",8,0.48624999999999996,0.5760000000000001,0.57125,0.18899999999999997
Antifa,"“Contraction of the word ‘anti-fascist’. It was coined in Germany in the 1960s and 1970s by a network of groups that spread across Europe to confront right-wing extremists. (…) A similar movement was seen in the 1980s in the United States and has re-emerged recently as the ‘alt-right’ has risen to prominence. For some so-called antifa members, the goal is to physically confront white supremacists, (in order to) ‘get at them, to assault them and engage in street fighting’ (like) ‘an old left-wing extremist movement’.” [3]",1,0.758,0.463,0.87,0.068
Convert,“An individual who has converted to another religion.” [2],8,0.4951249999999999,0.49037499999999995,0.782,0.386
Cuck,"“Insult used by the ‘alt-right’ to attack the masculinity of an opponent, originally other conservatives, whom the movement deemed insufficiently committed to racism and anti-Semitism. It is short for ‘cuckold’, a word dating back to the Middle Ages that describes a man who knows his wife is sleeping with other men and does not object. (…) The use of the word by the ‘alt-right’ often had racial overtones.” [3]",16,0.7021875000000001,0.4899375,0.6915625000000001,0.38868749999999996
Fatwa,"“An Islamic legal opinion, issued by a legal scholar known as a mufti. A fatwa is usually issued as a response to a specific question. The weight of the opinion is directly linked to the authority of the scholar issuing it. Scholars linked to terrorist organisations have issued their own fatwas about the legality of specific terrorist acts or operations.” [2]",1,0.8479999999999999,0.4109999999999999,0.963,0.5949999999999999
Hated,"“Racist skinhead group active in New Jersey, Florida, and elsewhere. Members use a variety of symbols but one of the most common is a white fist inside a cogwheel, with the number 14 and the words The Hated on the outside.” [1]",9,0.6499999999999999,0.4963333333333333,0.9319999999999999,0.17966666666666667
Homophobia,"Term “used to describe the fear, discrimination, and persecution of gay people.” [4]",1,0.553,0.558,0.817,0.092
Indoctrination,Educational process in which individuals are convinced of the importance of the cause and of the necessary means for its implementation. [19],3,0.6953333333333335,0.4673333333333333,0.6539999999999999,0.3309999999999999
Jihadist,"Individual who “reject(s) participation in the political system and use(s) violence to advance (their) goals, (claiming) divine sanction for (their) actions by presenting them as Jihad fi sabil Allah (jihad in the path of God, or for the cause of God).” [9]",1,0.448,0.566,0.87,0.096
Martyr,"“Individual who dies or suffers for his cause. The term is used in the context of certain extremist strains of Islam to describe an individual who dies carrying out a violent act of jihad – e.g., while in armed combat or by carrying out a terrorist attack.” [4]",1,0.4309999999999999,0.628,0.984,0.6159999999999999
